Review,Brand,Variety,Style,Country,Stars,TopTen
2432,Fashion Food,Yummy Spicy Rice Soup With Seafood,Bowl,Thailand,3.5,NA
2431,Dream Kitchen,Udon Japanese Style Fresh Noodle,Bowl,USA,3.75,NA
2429,New Touch,T's Restaurant Sura Tanmen,Cup,Japan,4,NA
2428,TTL,Sesame Oil Chicken With Rice Wine Noodle,Bowl,Taiwan,5,NA
2427,Ajinatori,HALAL Chicken Shoyu Sauce Ramen,Pack,Japan,2.5,NA
2426,Dr. McDougall's,Vegan Pad Thai Noodle Soup,Cup,USA,0,NA
2424,Samyang Foods,Cheese Type Buldak Bokkeummyun (Black Pkg),Pack,South Korea,3.75,NA
2423,Ve Wong,Kung-Fu Instant Oriental Noodles Soup Artificial Onion Flavor,Pack,Taiwan,3.5,NA
2421,Uni-President,Baseball Snack Noodle,Pack,Taiwan,5,NA
2420,Nissin,Cup Noodles Spicy Seafood Flavor,Cup,China,3.75,NA
2419,MyKuali,Penang Red Tom Yum Goong,Box,Japan,5,NA
2418,Myojo,Yomise No Yakisoba Karashi Mentaiko Flavor,Tray,Japan,4.5,NA
2416,Xiuhe,Hot & Sour Beef Noodles,Bowl,China,4.25,NA
2415,Nissin,Kitsune Udon Donbei (West),Bowl,Japan,5,NA
2414,Little Cook,Thailand Green Curry Instant Noodle,Bowl,Taiwan,5,NA
2412,Shirakiku,Sanukiya Udon Shrimp Flavor,Pack,USA,3.25,NA
2411,Mama Pat's,Chicken Fajita Flavor Instant Ramen Noodles,Pack,USA,3.75,NA
2410,Mama Pat's,Lamb Stew Flavor Instant Ramen Noodles,Pack,USA,3.75,NA
2409,Mama Pat's,Seafood Gumbo Flavor Instant Ramen Noodles,Pack,USA,3.5,NA
2408,Mama Pat's,Chicken Taco Flavor Instant Ramen Noodles,Pack,USA,3.75,NA
2407,Just Way,Chuan Wei Spicy Guan-miao Noodles,Pack,Taiwan,4.5,NA
2406,Sichuan Guangyou,Sweet Potato Instant Noodle Braised Spicy Chitterling Flavor,Pack,China,0.25,NA
2403,Goku-Uma,Yakisoba Japanese Style Noodle,Bowl,USA,4.75,NA
2401,Sichuan Baijia,Chongqing Noodles Burning Dry Noodles,Bowl,China,5,NA
2398,Liang Cheng Mai,Shaanxi Cold Noodle: Mustard Spicy,Tray,China,1,NA
2397,Samyang Foods,Cheese Buldak Bokkeummyun (Black),Bowl,South Korea,4,NA
2395,Master Kong,Chicken Flavor Instant Noolde,Pack,China,4.25,NA
2393,Ripe'n'Dry,Hokkaido Miso Ramen,Pack,Japan,3,NA
2391,Ottogi,Jin Jjambbong Spicy Seafood Ramyun,Pack,South Korea,5,NA
2389,Gefen,Imitation Chicken Flavor,Cup,USA,4,NA
2388,Hua Feng,Three Fresh Delicacies Instant Noodle,Pack,China,4.25,NA
2385,Uni-President,Man Han Feast Chilli Beef Flavor Instant Noodles,Bowl,Taiwan,4.75,NA
2384,Sichuan Guangyou,9999 Chongqing Artificial Beef Flavor Instant Noodle,Pack,China,4.25,NA
2383,Nissin,Cup Noodles Beef Flavor Ramen Noodle Soup (New Recipe),Cup,USA,3.5,NA
2382,Nongshim,Seaweed Instant Noodle,Cup,South Korea,0.5,NA
2380,Pulmuone,Non-Fried Ramyun With Spicy Beef Broth,Pack,South Korea,3.75,NA
2379,Nissin,Cup Noodles Hot & Spicy Shrimp Flavor Ramen Noodle Soup (New Recipe),Cup,USA,2.5,NA
2376,Nissin,Disney Cuties Instant Chicken With Corn Flavour,Cup,Thailand,3.25,NA
2375,Uni-President,Man Han Feast Braised Pork Flavor Instant Noodles,Bowl,Taiwan,5,NA
2372,Liu Quan,Instant Spicy Rice Noodle,Bowl,China,4,NA
2371,Daikoku,Tanuki Soba,Cup,Japan,3.5,NA
2370,Samyang Foods,Zzaldduck Buldak Bokkeummyun Snack,Pack,South Korea,4.5,NA
2369,Samyang Foods,Curry Buldak Bokkeummyun,Pack,South Korea,4.25,NA
2368,Samyang Foods,Cool/Ice Buldak Bokkeummyun,Pack,South Korea,3.75,NA
2367,Samyang Foods,2x Spicy Haek Buldak Bokkeummyun,Pack,South Korea,4,NA
2366,Samyang Foods,Buldak Bokkeummyun Snack,Pack,South Korea,5,NA
2365,Samyang Foods,Stew Buldak Bokkeumtangmyun,Pack,South Korea,5,NA
2364,Samyang Foods,Cheese Buldak Bokkeummyun,Pack,South Korea,4,NA
2363,Samyang Foods,Buldak Bokkeummyun (New Packaging),Pack,South Korea,4,NA
2362,Chuan Wei Wang,Bowl Instant Noodles Artificial Spicy Beef Flavor,Bowl,China,4,NA
2359,Daikoku,Kitsune Udon,Cup,Japan,2,NA
2358,Sichuan Baijia,Pickled Cabbage Flavor Instant Vermicelli,Bowl,China,4,NA
2356,Nongshim,Spicy Shrimp Cup Noodle,Cup,South Korea,4,NA
2355,Marutai,Nagasaki Agodashi Shoyu Ramen,Pack,Japan,4,NA
2353,Nissin,"Cup Noodles Rich Garlic, Egg Yolk & Oxtail",Cup,Japan,4,NA
2352,Uni-President,Minced Pork Flavor Instant Noodles,Pack,Taiwan,1,NA
2348,Ripe'n'Dry,Hokkaido Salt Ramen,Pack,Japan,3,NA
2345,Sempio,Clam Flavor Soup Kal-guksu,Pack,South Korea,5,NA
2330,Ve Wong,Little Prince(ss) Brand Snack Noodles Artificial Mexican Pizza Flavor,Pack,Taiwan,4,NA
2328,Qin Zong,Shaanxi Cold Noot Hot & Sour Flavor,Pack,China,3,NA
2327,Nissin,Cup Noodles Spicy Lime Flavor Ramen Noodle Soup (New Recipe),Cup,USA,4,NA
2324,Paldo,Bul Jjajangmyeon,Pack,South Korea,5,NA
2323,Ogasawara,Kirin Giraffe Shio Ramen,Pack,Japan,5,NA
2322,Sapporo Ichiban,Mie Kamayama Ramen Gyukotsu Misoaji,Bowl,Japan,3,NA
2320,Nissin,Nupasta Bolognese Flavour Instant Noodle,Cup,Japan,4,NA
2319,Nongshim,Saeutang Sabalmyeon,Bowl,South Korea,3.5,NA
2318,Happy Cook,Sichuan Spicy Flavor,Pack,Taiwan,5,NA
2317,MAMA,Instant Bowl Noodles Shrimp (Tom Yum) Flavor Base,Bowl,Thailand,4,NA
2316,Nissin,Cup Noodle Spicy Curry Chicken,Cup,Japan,5,NA
2315,Goku-Uma,Ramen Noodles Miso Flavor,Bowl,USA,3,NA
2313,Xiao Ban Mian,Sesame Oil With Garlic Flavor Thin Noodle,Pack,Taiwan,3.5,NA
2312,Xiao Ban Mian,Traditional Shallot & Onion Oil Noodle,Pack,Taiwan,5,NA
2311,Xiao Ban Mian,Sesame Sauce Matcha Noodle,Pack,Taiwan,3.8,NA
2305,Ajinatori,Chicken Flavor Ramen,Pack,Japan,4,NA
2302,Nissin,Yakisoba,Tray,Japan,5,NA
2298,Nissin,Cup Noodles Spicy Chile Chicken (New Recipe),Cup,USA,4,NA
2297,Chuan Wei Wang,Bowl Instant Noodles Artificial Beef With Sauerkraut Flavor,Bowl,China,3,NA
2295,Nissin,Cup Noodles Seafood,Cup,China,4,NA
2294,Sapporo Ichiban,Tabimen AizuKitakata Gyokai Shoyu Ramen,Bowl,Japan,4,NA
2292,Sichuan Baijia,Chongqing Noodles Spicy Hot Flavor,Pack,China,5,NA
2291,Samyang Foods,Buldak Bokkummyun Cheese Flavor,Pack,South Korea,4,NA
2289,Myojo,Shin Toyama Black Ramen,Bowl,Japan,4,NA
2287,Master Kong,Artificial Abalone Crab Flavor Instant Noodle,Pack,China,0,NA
2283,Nissin,Raoh Pork Bone Soy Soup Noodle,Pack,Japan,5,NA
2282,Samyang Foods,Gold Jjamppong Fried Noodle,Pack,South Korea,5,NA
2280,Sichuan Baijia,Chongqing Noodles Hot & Sour Flavor,Pack,China,4,NA
2278,Nissin,Raoh Tantanmen,Pack,Japan,5,NA
2277,Goku-Uma,Ramen Noodles Soy Sauce Flavor,Bowl,USA,3,NA
2276,Nissin,Cup Noodles With Shrimp Ramen Noodle Soup (New Recipe),Cup,USA,3,NA
2275,JML,Hot & Sour Beef Noodles,Pack,China,4,NA
2273,Uni-President,A Q Bucket Noodle Korean Kimchi Flavor,Bowl,Taiwan,4,NA
2271,Sichuan Baijia,Chongqing Noodles Burning Dry Noodles,Pack,China,5,NA
2270,Samyang Foods,Fresh Bibimmyun Fried Noodle,Pack,South Korea,4,NA
2267,Shirakiku,Karami Ramen Spicy Chili Flavour Japanese Style Noodle With Soup Base,Pack,USA,2,NA
2266,Nissin,Disney Cuties Instant Noodle Crab Flavour,Cup,Thailand,4,NA
2265,Nissin,Cup Noodles Rich Soft Shelled Turle Soup,Cup,Japan,3,NA
2264,Unif Tung-I,Instant Vegetarian Beehoon Rice Vermicelli,Pack,Taiwan,1,NA
2263,Sichuan Baijia,Broad Noodle Artificial Beef Flavor Hot Pot,Pack,China,4,NA
2262,Dream Kitchen,Curry Flavour Instant Noodles,Cup,USA,5,NA
2261,Tablemark,Tohokuno Aji Yonezawa Ramen,Bowl,Japan,4,NA
2260,Uni-President,Science Noodle (X'Mas Edition),Pack,Taiwan,5,NA
2259,Farmer's Heart,Pho Beef Flavor Vietnamese Rice Noodle Soup,Bowl,USA,3.75,NA
2256,Goku-Uma,Ramen Noodles Artificially Flavored Tonkotsu,Bowl,USA,3,NA
2255,Daikoku,Hiroshima Flavor Yakisoba,Tray,Japan,5,NA
2254,Nissin,Disney Cuties Instant Noodle Seaweed Flavour,Cup,Thailand,3,NA
2252,New Touch,Sugomen Sano Ramen,Bowl,Japan,5,NA
2249,Love Cook,Sun Dried Noodle - Fruity Soy Bean Paste,Pack,Taiwan,4,NA
2248,Nongshim,Shin Noodle Soup,Cup,USA,5,NA
2247,Nissin,Sapporo Noukou Miso Ramen,Bowl,Japan,5,NA
2246,Dream Kitchen,Soy Sauce,Cup,USA,4,NA
2240,Wang,Rice Noodle Anchovy Flavor,Bowl,South Korea,3,NA
2239,Nissin,Cup Noodles Chicken Flavor Ramen Noodle Soup (New Recipe),Cup,USA,4,NA
2237,Nissin,Cup Noodle Light+ Bagna Cauda,Cup,Japan,5,NA
2236,Maruchan,Gotsumori Koku Tonkotsu Ramen,Bowl,Japan,4,NA
2235,Fashion Food,Tom Yum Shrimp Creamy Flavour Instant Noodles,Bowl,Thailand,4,NA
2234,Paldo,Bibim Men,Bowl,South Korea,5,NA
2232,Nissin,Spicy Chikin Donburi,Bowl,Japan,5,NA
2230,Marutai,Kuroma-Yu Tonkotsu Kumamoto Ramen,Pack,Japan,4,NA
2228,Nissin,Raoh Shoyu Ramen,Bowl,Japan,5,NA
2227,Maruchan,Ramen Noodle Soup Sriracha Chicken Flavor,Pack,USA,4,NA
2226,Nagatanien,Hiyashi Soba Taidashi Goma,Pack,Japan,3,NA
2221,Nissin,Cup Noodle Seafood,Cup,Japan,5,NA
2220,Paldo,Budae Jjigae,Pack,South Korea,5,NA
2218,Tseng Noodles,Spicy Braised Pork Flavor,Pack,Taiwan,4,NA
2216,A-Sha Dry Noodle,Chow Mein Spicy Flavor,Tray,Taiwan,3,NA
2214,Sapporo Ichiban,Tabimen Nagasaki Chanpon,Bowl,Japan,4,NA
2212,Paldo,Bul Jjamppong,Pack,South Korea,4,NA
2211,Nissin,Disney Cuties Instant Noodle Roast Pork Flavour,Cup,Thailand,3,NA
2208,Roland,Ramen Japanese Style Quick-Cooking Alimentary Paste With Chicken Artificially Flavored Soup Base,Pack,USA,0,NA
2206,Nissin,Deka Buto Kuro M-yu Tonkotsu,Bowl,Japan,5,NA
2205,Maruchan,Bowl Taste Of Asia Hearty Pork Flavor Tonkotsu Ramen,Bowl,USA,4,NA
2203,Nongshim,Bowl Noodle Soup Independence Day Limited Edition Spicy Chicken Flavor,Bowl,USA,4,NA
2195,Nissin,Gyorai Inaniwa Chuka Soba,Bowl,Japan,5,NA
2191,Choumama,XO Scallops Sauce Dry Noodles,Pack,Taiwan,4,NA
2190,Myojo,Barikata Noukou Tonkotsu Shoyu,Bowl,Japan,4.75,NA
2187,Pulmuone,Non-Fried Ramyun Noodle (Crab Flavor),Pack,South Korea,5,NA
2186,Master Kong,Assorted Seafood Noodles,Pack,China,4,NA
2185,Nissin,Raoh Hot & Sour Ramen,Pack,Japan,5,NA
2184,President Rice,Coriander Instant Rice Noodles,Bowl,Thailand,2.75,NA
2183,MAMA,Instant Rice Noodles Moo Nam Tok Flavour,Pack,Thailand,3.5,NA
2182,MAMA,Instant Rice Vermicelli Clear Soup,Pack,Thailand,3.5,NA
2181,MAMA,Instant Rice Noodles Chicken Flavour,Pack,Thailand,4,NA
2180,MAMA,Pho Ga Rice Noodles With Artificial Chicken Flavour,Bowl,Thailand,3,NA
2179,MAMA,Oriental Kitchen Instant Rice Vermicelli In Gravy,Pack,Thailand,5,NA
2178,MAMA,Instant Tom Yam Rice Noodles,Pack,Thailand,4,NA
2177,MAMA,Instant Rice Noodles Vegetable Flavour,Pack,Thailand,4,NA
2176,MAMA,Instant Rice Vermicelli Yentafo Tom Yam Mohfai,Pack,Thailand,5,NA
2175,MAMA,Instant Flat Noodles Clear Soup,Pack,Thailand,4,NA
2174,MAMA,Cup Rice Noodles Tom Saab Flavour,Cup,Thailand,5,NA
2173,MAMA,Instant Rice Noodles Stew Beef Flavour,Pack,Thailand,4,NA
2172,MAMA,Instant Rice Noodles Phnom Penh Style,Pack,Thailand,4,NA
2171,MAMA,Instant Flat Noodles Tom Yam Flavour,Pack,Thailand,4,NA
2170,Maruchan,Ramen Noodle soup Mushroom Flavor,Pack,USA,4,NA
2168,Tseng Noodles,Rice Noodle Shallot With Braised Pork Flavor,Pack,Taiwan,5,NA
2166,JML,Instant Noodle Artificial Beef Flavor 7 sour Pickled Cabbage,Pack,China,4,NA
2164,Tseng Noodles,Rice Noodle Chinese Mushroom With Soybean Vegetarian Braised Pork Flavor,Pack,Taiwan,5,NA
2163,Nissin,Piritto Karakuchi Tantan Udon,Bowl,Japan,4,NA
2162,Tseng Noodles,Rice Noodle Seafood Laksa Flavour,Pack,Taiwan,5,NA
2161,Nongshim,Chal Bibim Myun,Pack,South Korea,5,NA
2160,Menraku,Japanese Yakisoba Umami Sauce,Bowl,Japan,5,NA
2158,A-Sha Dry Noodle,Chow Mein Original Flavor,Tray,Taiwan,5,NA
2157,Master Kong,Artificial Mushroom Chicken Flavor Instant Noodle,Pack,China,4,NA
2156,A-Sha Dry Noodle,Chow Mein Oyster Sauce BBQ Flavor,Tray,Taiwan,2,NA
2155,Jingqi,Aloe Vera Guan Mian Purple Sweet Potato Noodle With Spicy Miso Sauce,Pack,Taiwan,4,NA
2154,Jingqi,Black Eyes Bean Original Noodle With Sesame Sauce,Pack,Taiwan,4,NA
2153,Jingqi,Aloe Vera Guan Mian Pumpkin Noodle With Basil Sauce,Pack,Taiwan,4,NA
2152,Jingqi,Black Eyes Bean Cyanobacteria Noodle With Ginger Oil Sauce,Pack,Taiwan,5,NA
2151,Jingqi,Aloe Vera Guan Mian Original Noodle With Sesame Sauce,Pack,Taiwan,5,NA
2150,Jingqi,Black Eyes Bean Purple Sweet Potato Noodle With Spicy Miso Sauce,Pack,Taiwan,3,NA
2149,Jingqi,Aloe Vera Guan Mian Cyanobacteria Noodle With Ginger Oil Sauce,Pack,Taiwan,5,NA
2148,Jingqi,Black Eyes Bean Pumpkin Noodles With Basil Sauce,Pack,Taiwan,5,NA
2147,Maruchan,Instant Lunch Pork Flavor Ramen Noodles With Vegetables,Cup,USA,3,NA
2146,Sapporo Ichiban,Kun Ramen Sumo-kuchikin (Smoked Chicken),Bowl,Japan,3,NA
2145,Dream Kitchen,Tonkotsu,Cup,USA,3,NA
2142,Maruchan,Bowl Taste Of Asia Miso Chicken Flavor Spicy Miso Ramen,Bowl,USA,4,NA
2141,Nissin,Men Shokunin Kaoruyasai Shio,Bowl,Japan,5,NA
2140,Wang,Rice Noodle Seafood Flavour,Bowl,South Korea,5,NA
2133,Nissin,Kimchi Chikin Ramen Donburi,Bowl,Japan,5,NA
2132,Maruchan,Instant Lunch Chipotle Chicken Flavor Ramen Noodle Soup,Cup,USA,5,NA
2128,Sapporo Ichiban,Taimeiken Yousyoku Yasangatsukutta Omumen,Cup,Japan,4,NA
2126,Nissin,Mennippon Oumi Chanpon,Bowl,Japan,5,NA
2124,7 Select,Nissin Instant Noodles Tom Yum Seafood Creamy Flavour King Cup,Bowl,Thailand,3.5,NA
2123,Nissin,Cup Noodles Tom Yum Shrimp Sabb Flavour,Cup,Thailand,5,NA
2122,Nissin,Chilli Noodles Stir Fried Holy Basil Flavour,Pack,Thailand,5,NA
2121,Nissin,Instant Noodles Moo Manao Flavour,Pack,Thailand,4,NA
2120,Nissin,Super Tom Yum Shrimp,Cup,Thailand,3.5,NA
2119,Nissin,Cup Noodles Minced Pork Flavour,Cup,Thailand,3.5,NA
2118,Nissin,Chilli Noodles Tom Yum Shrimp Creamy Soup Flavour,Cup,Thailand,3.25,NA
2117,7 Select,Nissin Instant Noodles Shrimp Ma Nao Lui Suan Flavour King Cup,Bowl,Thailand,4,NA
2116,Nissin,Instant Noodles Tom Yum Shrimp Saab Flavour,Pack,Thailand,4,NA
2115,Nissin,Cup Noodles Moo Manao Flavour,Cup,Thailand,4,NA
2114,Nissin,Instant Noodles Minced Pork Flavour,Pack,Thailand,3.5,NA
2113,Nissin,Cup Noodles Seafood Creamy Flavour,Cup,Thailand,4,NA
2112,Nissin,Chilli Noodles Spicy Tom Yum Flavour,Pack,Thailand,4,NA
2109,Oni Hot Pot,Tuna With Shallot Flavor Noodle,Pack,Taiwan,4.3,NA
2108,Weh Lih,GGE Noodle Snack Wheat Crackers Original Ramen,Pack,Taiwan,1,NA
2106,Itomen,Onion Flavor Shoyu Ramen,Pack,Japan,3.5,NA
2105,Maruchan,Ramen Noodle Soup Chicken Tortilla Flavor,Pack,USA,3,NA
2104,Wang,Rice Noodle Kimchi Flavor,Bowl,South Korea,4,NA
2103,Roland,Ramen Japanese Style Quick-Cooking Alimentary Paste With Beef Artificially Flavored Soup Base,Pack,USA,0,NA
2102,Nissin,Cup Noodles Singapore Laksa,Cup,Japan,5,NA
2101,Samyang Foods,Pojangmacha Udon,Pack,South Korea,4,NA
2099,Sanpo,Yakibuta Ramen,Bowl,Japan,4,NA
2098,Nongshim,Kimchi Flavor Noodle Soup,Cup,USA,5,NA
2096,Maruchan,Seimen Noukou Toro Tonkotsu,Bowl,Japan,4,NA
2094,Nongshim,Champong Noodle Soup Spicy Seafood Flavor,Pack,South Korea,5,NA
2093,Oni Hot Pot,Seaweed Flavour Noodle,Pack,Taiwan,2,NA
2072,Maruchan,Bowl Taste Of Asia Beef Flavor Sukiyaki Ramen,Bowl,USA,5,NA
2071,A-Sha Dry Noodle,Tainan Noodle Original Sauce,Pack,Taiwan,5,NA
2070,Tokushima Seifun,Negi Ramen,Bowl,Japan,1.75,NA
2067,Samyang Foods,Fresh Jjajang,Pack,South Korea,4.5,NA
2066,Marutai,Hakata Tonkotsu Ramen,Pack,Japan,5,NA
2064,Nongshim,Arrabiata Rice Bucatini,Pack,USA,5,NA
2060,Nissin,Cup Noodle Light+ Cheese Fondue,Cup,Japan,5,NA
2058,Zow Zow,Instant Noodle Shrimp Tom Yam Flavoured,Pack,Thailand,3.75,NA
2056,Koyo,Garlic Pepper Reduced Sodium Ramen,Pack,USA,0,NA
2055,Nissin,Tokyo Tokunou Gyokai Tonkotsu,Bowl,Japan,5,NA
2053,Maruchan,Instant Lunch Sriracha Chicken Flavor Ramen Noodle Soup,Cup,USA,3.75,NA
2051,Master Kong,Artificial Pork Ribs Flavour Instant Noodle,Pack,China,3.5,NA
2048,Acecook,Kadomen Koikoku Tonkotsu,Bowl,Japan,3.8,NA
2047,Oni Hot Pot,XO Sauce Noodle,Pack,Taiwan,5,NA
2041,Master Kong,Tomato Sauce Instant Noodle,Pack,China,4.5,NA
2039,Tokushima Seifun,Yakibuta Ramen,Bowl,Japan,5,NA
2037,Migawon,Hovenia Ramen Vegetable Flavor,Pack,South Korea,3.5,NA
2036,A-Sha Dry Noodle,Hakka BBQ Sauce Noodle,Pack,Taiwan,4.25,NA
2035,Acecook,Maru Uma Curry Udon,Cup,Japan,3.5,NA
2030,Myojo,Charumera Atyificial Tonkotsu Shouyu Flavor,Pack,Japan,3.75,NA
2027,Nissin,Shinshu Miso Ramen,Bowl,Japan,5,NA
2020,Kang Shi Fu,Artificial Roasted Beef,Pack,China,3.5,NA
2019,Acecook,Seabura Tonkotsu Ramen,Cup,Japan,3.75,NA
2018,Pulmuone,Noodle With Spicy Oyster Soup,Pack,South Korea,4,NA
2017,Samyang Foods,Honey & Cheese Big Bowl,Bowl,South Korea,0,NA
2014,Oni Hot Pot,Ghost Pepper Noodle,Pack,Taiwan,4.5,NA
2012,MAMA,Vegetarian Instant Noodles Shiitake Flavour,Pack,Thailand,2,NA
2008,Sichuan Baijia,Hot spicy Flavor Instant Vermicelli,Bowl,China,3.5,NA
2005,A-Sha Dry Noodle,Hakka Spicy Barbeque Sauce,Pack,Taiwan,4.5,NA
2004,Nissin,Donbei Dashi Shoyu Yakiudon,Bowl,Japan,3.75,NA
2003,Nissin,Raoh Rich Miso Flavor,Bowl,Japan,5,NA
